detail_location,holiday_time,latitude,longitude,manager,phone,restriction_id,restriction_type,road_name,saturday_time,weekday_time
153갈비 ~ 남산사거리 ~ 온양문화원 ~ 온양고교 사거리,00:00,,,충청남도 아산시,041-540-2953,,03,남산로,00:00,08:00
외암마을 ~ 강당골 버스정류장 ~ 강당골 멱시,00:00,,,충청남도 아산시,041-540-2953,,03,강당로,00:00,08:00
천도초교4가 ~ 천도초교 ~ 교육청사거리,00:00,,,충청남도 아산시,041-540-2953,,03,실옥로,00:00,08:00
권곡4가(향아빌딩) ~ 온천초교 ~ 현대홈타운 정문,00:00,,,충청남도 아산시,041-540-2953,,03,청운로,00:00,08:00
온양중1길입구 ~ 용화초교 ~ 모아아파트단지4가,00:00,,,충청남도 아산시,041-540-2953,,03,온중로,00:00,08:00
인터파크호텔 ~ 이화약국 ~ 너더리철도 교각밑,00:00,,,충청남도 아산시,041-540-2953,,03,너더리1길,00:00,08:00
문화낚시할인매장 ~ 동신초교 ~ 명진카센타,00:00,,,충청남도 아산시,041-540-2953,,03,번영로234번길,00:00,08:00
인주면 금성리 현대자동차공장 정문 앞(현대자동차 입구 ~ 정문 ~ 현대자동차사거리),00:00,,,충청남도 아산시,041-540-2953,,03,현대로,00:00,08:00
온양온천역 ~ 아고오거리 ~ 박물관4가 ~ 충무교앞,00:00,,,충청남도 아산시,041-540-2953,,03,충무로,00:00,08:00
영인산 입구 ~ 영인산휴양림 주차장,00:00,,,충청남도 아산시,041-540-2953,,03,아산온천로,00:00,08:00
삼일교회입구3가 ~ 종합운동장 ~ 21호국도(풍기동입구),00:00,,,충청남도 아산시,041-540-2953,,03,남부로,00:00,08:00
대우증권 ~ 산림조합 ~ 온천초교,00:00,,,충청남도 아산시,041-540-2953,,03,충무로20번길,00:00,08:00
동양고속 앞 ~ 보건소 ~ 신기공업사 ~ 장원시트(온양대로),00:00,,,충청남도 아산시,041-540-2953,,03,번영로224번길,00:00,08:00
밀두리 삼거리 ~ 인주면사무소 ~ 인주농협,00:00,,,충청남도 아산시,041-540-2953,,03,현대로,00:00,08:00
